x,y,z,yaw,velocity,change_flag
-1.0966,0.1782,0.0628,-0.2244,0,0
-0.0962,-0.0395,0.0632,-0.0055,0.0000,0
0.9276,0.0319,0.0250,0.2427,0.0000,0
-0.1567,0.1448,-0.0316,0.2786,-0.0015,0
0.9416,0.0380,0.0360,0.2479,0.0000,0
-0.1070,0.1707,-0.0076,0.2857,-0.0015,0
0.9567,0.0347,0.0395,0.2526,0.0000,0
-0.1403,0.1862,-0.0024,0.2875,-0.0016,0
0.9853,0.0486,0.0406,0.2582,0.0000,0
-0.0884,0.1486,-0.0010,0.2853,-0.0015,0
1.0174,0.0618,0.0392,0.2633,0.0000,0
-0.1627,0.1338,-0.0395,0.2748,-0.0017,0
1.0493,0.0565,0.0374,0.2687,0.0000,0
-0.1674,0.1323,-0.0423,0.2764,-0.0017,0
1.0667,0.0662,0.0384,0.2729,0.0000,0
-0.1678,0.1384,-0.0406,0.2761,-0.0017,0
1.0855,0.0678,0.0400,0.2786,0.0000,0
-0.1608,0.1316,-0.0368,0.2753,-0.0018,0
1.1104,0.0801,0.0325,0.2828,0.0000,0
-0.1721,0.1428,-0.0407,0.2761,-0.0018,0
1.1475,0.0809,0.0308,0.2873,0.0000,0
-0.1499,0.1146,-0.0505,0.2781,-0.0018,0
1.1681,0.0902,0.0376,0.2945,0.0000,0
-0.1450,0.1175,-0.0192,0.2742,-0.0018,0
1.1796,0.1058,0.0361,0.2986,0.0000,0
-0.1718,0.1369,-0.0383,0.2769,-0.0019,0
1.2028,0.1071,0.0282,0.3029,0.0000,0
-0.0425,0.1492,-0.0007,0.2824,-0.0018,0
1.2080,0.1093,0.0205,0.3071,0.0000,0
-0.1790,0.1365,-0.0424,0.2757,-0.0020,0
1.2153,0.1261,0.0307,0.3118,0.0000,0
-0.1696,0.1625,-0.0364,0.2795,-0.0020,0
1.2248,0.1261,0.0188,0.3148,0.0000,0
-0.1763,0.1400,-0.0434,0.2772,-0.0020,0
1.2400,0.1266,0.0219,0.3191,0.0000,0
-0.1343,0.1220,-0.0231,0.2710,-0.0019,0
1.2692,0.1332,0.0173,0.3235,0.0000,0
-0.1642,0.1402,-0.0322,0.2770,-0.0020,0
1.2751,0.1279,0.0162,0.3292,0.0000,0
-0.1332,0.1147,-0.0222,0.2709,-0.0020,0
1.2944,0.1221,0.0121,0.3323,0.0000,0
-0.0928,0.1489,-0.0133,0.2854,-0.0020,0
1.3113,0.1174,0.0109,0.3344,0.0000,0
-0.1627,0.1333,-0.0245,0.2765,-0.0021,0
1.3251,0.1094,-0.0006,0.3372,0.0000,0
-0.0692,0.1741,-0.0011,0.2836,-0.0020,0
1.3311,0.1242,0.0131,0.3417,0.0000,0
-0.1028,0.1329,-0.0075,0.2730,-0.0020,0
1.3431,0.1317,0.0122,0.3443,0.0000,0
-0.1338,0.1231,-0.0451,0.2805,-0.0021,0
1.3476,0.1450,0.0117,0.3481,0.0000,0
-0.0237,0.1621,0.0131,0.2843,-0.0019,0
1.3563,0.1551,0.0071,0.3524,0.0000,0
-0.1647,0.1421,-0.0284,0.2781,-0.0021,0
1.3567,0.1569,0.0102,0.3562,0.0000,0
-0.1512,0.1535,-0.0189,0.2784,-0.0021,0
1.3726,0.1658,0.0072,0.3589,0.0000,0
-0.0406,0.1583,0.0037,0.2832,-0.0020,0
1.3860,0.1755,0.0112,0.3614,0.0000,0
-0.1580,0.1525,-0.0285,0.2799,-0.0022,0
1.4013,0.1759,0.0078,0.3650,0.0000,0
-0.0867,0.1532,-0.0051,0.2855,-0.0021,0
1.4048,0.1733,-0.0002,0.3666,0.0000,0
-0.1310,0.1601,-0.0146,0.2814,-0.0022,0
1.4146,0.1745,0.0058,0.3688,0.0000,0
-0.1372,0.1339,-0.0095,0.2708,-0.0022,0
1.4150,0.1750,-0.0008,0.3701,0.0000,0
-0.1067,0.1431,-0.0123,0.2866,-0.0021,0
1.4244,0.1727,0.0043,0.3719,0.0000,0
-0.0955,0.1562,-0.0012,0.2740,-0.0021,0
1.4281,0.1830,0.0101,0.3729,0.0000,0
-0.0370,0.1496,-0.0056,0.2783,-0.0021,0
1.4451,0.1818,0.0106,0.3785,0.0000,0
-0.1383,0.1150,-0.0228,0.2744,-0.0022,0
1.4445,0.1912,0.0104,0.3748,0.0000,0
-0.1245,0.1183,-0.0428,0.2804,-0.0022,0
1.4259,0.1734,0.0062,0.3664,0.0000,0
-0.0731,0.1360,-0.0061,0.2824,-0.0021,0
1.4108,0.1639,0.0105,0.3649,0.0000,0
-0.1047,0.1108,-0.0196,0.2762,-0.0021,0
1.3977,0.1687,0.0142,0.3616,0.0000,0
-0.0377,0.1560,0.0033,0.2841,-0.0020,0
